,teams,1_star,X_star,2_star,under_star,goals_star,over_star
0,Utakmica,1,X,2,,2.5,i
1,Cameroon  Serbia,4.10,3.20,2.00,1.54,2.5,2.50
2,South Korea  Ghana,2.60,3.05,2.90,1.52,2.5,2.55
3,Brazil  Switzerland,1.46,4.25,7.25,1.94,2.5,1.87
4,Portugal  Uruguay,2.08,3.30,3.65,1.68,2.5,2.20
5,Japan  Costa Rica,2.01,3.20,4.05,1.55,2.5,2.45
6,Belgium  Morocco,1.51,4.15,6.50,1.93,2.5,1.88
7,Croatia  Canada,1.81,3.55,4.50,1.78,2.5,2.05
8,Spain  Germany,2.50,3.40,2.75,1.91,2.5,1.90
9,Tunisia  Australia,2.75,3.00,2.75,1.52,2.5,2.55
10,Poland  Saudi Arabia,1.77,3.60,4.70,1.79,2.5,2.03
11,France  Denmark,1.95,3.35,4.05,1.69,2.5,2.19
12,Argentina  Mexico,1.64,3.65,5.70,1.70,2.5,2.16
13,Wales  Iran,2.26,3.15,3.40,1.59,2.5,2.35
14,Utakmica,1,X,2,,2.5,i
15,Marseille  Sporting L.,2.21,3.50,3.10,1.88,2.5,1.94
16,Bayern München  Plzen,1.06,11.5,24.5,0,2.5,1.20
17,Club Brugge  Atl. Madrid,3.60,3.50,2.03,1.78,2.5,2.05
18,Ajax  Napoli,2.05,3.95,3.20,2.45,2.5,1.56
19,Eintracht F.  Tottenham,3.65,3.70,1.96,1.99,2.5,1.83
20,Inter  Barcelona,4.25,4.00,1.74,2.21,2.5,1.68
21,Liverpool  Glasgow Rangers,1.15,7.75,16.0,5,2.5,1.35
22,Porto  B. Leverkusen,2.09,3.65,3.30,2.02,2.5,1.80
23,Salzburg  Dinamo Zagreb,1.64,4.05,5.00,2.03,2.5,1.79
24,Leipzig RB  Celtic,1.55,4.35,5.55,2.22,2.5,1.67
25,Real Madrid  Shakhtar,1.18,7.25,13.8,5,2.5,1.38
26,Benfica  PSG,4.30,4.30,1.68,2.65,2.5,1.49
27,Chelsea  Milan,1.69,3.90,4.75,1.97,2.5,1.84
28,Utakmica,1,X,2,,2.5,i
29,Monaco  Trabzonspor,1.58,4.15,5.45,2.16,2.5,1.70
30,Helsinki  Ludogorets,3.80,3.55,1.95,1.88,2.5,1.93
31,Zurich  PSV,5.30,4.20,1.58,2.25,2.5,1.64
32,Omonia Nicosia  Manchester Utd,12.5,6.00,1.23,2.40,2.5,1.59
33,Malmo FF  Union Berlin,3.80,3.50,1.96,1.85,2.5,1.96
34,Sheriff T.  Real Sociedad,6.00,4.05,1.55,1.93,2.5,1.88
35,Sturm Graz  Lazio,4.80,3.90,1.69,2.04,2.5,1.78
36,Crvena Zvezda  Ferencvaros,1.88,3.70,3.90,2.00,2.5,1.82
37,Fenerbahçe  AEK Larnaca,1.37,4.80,8.00,2.17,2.5,1.70
38,Olympiakos  Qarabag,1.80,3.70,4.30,1.94,2.5,1.87
39,Rennes  Dynamo Kyiv,1.48,4.30,6.50,2.01,2.5,1.81
40,Midtjylland  Feyenoord,3.10,3.75,2.15,2.30,2.5,1.63
41,Braga  Union St. Gilloise,1.80,3.60,4.45,1.80,2.5,2.03
42,Utakmica,1,X,2,,2.5,i
43,Sivasspor  KF Ballkani,1.42,4.35,6.75,2.06,2.5,1.71
